eps_a,eps_c,event,spin,bin,min_fpp,phi_min_fpp,n_valid,n_phi,n_success,max_res,valid_solver,valid_spinodal
0.0,0.0,0,0,0,2.434641,0.3432,46,51,46,0.098,True,False
0.210526,0.0,0,0,0,2.294706,0.3432,46,51,46,0.098,True,False
0.421053,0.0,0,0,0,2.143106,0.3432,46,51,46,0.098,True,False
0.631579,0.0,0,0,0,1.980083,0.3628,46,51,46,0.098,True,False
0.842105,0.0,0,0,0,1.809916,0.3628,46,51,46,0.098,True,False
1.05263,0.0,0,0,0,1.637244,0.3628,46,51,46,0.098,True,False
1.26316,0.0,0,0,0,1.464386,0.3824,46,51,46,0.098,True,False
1.47368,0.0,0,0,0,1.292429,0.3824,46,51,46,0.098,True,False
1.68421,0.0,0,0,0,1.12615,0.3824,46,51,46,0.098,True,False
1.89474,0.0,0,0,0,0.9680687,0.3824,46,51,46,0.098,True,False
2.10526,0.0,0,0,0,0.8199797,0.3628,46,51,46,0.098,True,False
2.31579,0.0,0,0,0,0.6824181,0.3628,44,51,44,0.098,True,False
2.52632,0.0,0,0,0,0.5576269,0.3432,43,51,43,0.098,True,False
2.73684,0.0,0,0,0,0.4472013,0.3432,47,51,47,0.0196,True,False
2.94737,0.0,0,0,0,0.3455511,0.3236,48,51,48,0.0196,True,False
3.15789,0.0,0,0,0,0.2480506,0.2844,44,51,44,0.0196,True,False
3.36842,0.0,0,0,0,,,1,51,1,0.5872,False,False
3.57895,0.0,0,0,0,0.07586117,0.1668,42,51,42,0.0196,True,False
3.78947,0.0,1,1,0,-0.01035399,0.108,40,51,40,0.0196,True,True
4.0,0.0,1,1,1,-0.06252289,0.108,39,51,39,0.0196,True,True
0.0,0.0526316,0,0,0,2.301855,0.3432,46,51,46,0.098,True,False
0.210526,0.0526316,0,0,0,2.163568,0.3432,46,51,46,0.098,True,False
0.421053,0.0526316,0,0,0,2.011019,0.3628,46,51,46,0.098,True,False
0.631579,0.0526316,0,0,0,1.84846,0.3628,46,51,46,0.098,True,False
0.842105,0.0526316,0,0,0,1.680873,0.3628,46,51,46,0.098,True,False
1.05263,0.0526316,0,0,0,1.509304,0.3824,46,51,46,0.098,True,False
1.26316,0.0526316,0,0,0,1.337387,0.3824,46,51,46,0.098,True,False
1.47368,0.0526316,0,0,0,1.169258,0.3824,46,51,46,0.098,True,False
1.68421,0.0526316,0,0,0,1.007705,0.3824,46,51,46,0.098,True,False
1.89474,0.0526316,0,0,0,0.8552033,0.3824,46,51,46,0.098,True,False
2.10526,0.0526316,0,0,0,0.7113964,0.3628,43,51,43,0.098,True,False
2.31579,0.0526316,0,0,0,0.583688,0.3628,44,51,44,0.098,True,False
2.52632,0.0526316,0,0,0,0.4705772,0.3628,46,51,46,0.01608,True,False
2.73684,0.0526316,0,0,0,0.3613875,0.3236,48,51,48,0.01273,True,False
2.94737,0.0526316,0,0,0,0.2654348,0.304,47,51,47,0.006002,True,False
3.15789,0.0526316,0,0,0,0.1778078,0.2648,47,51,47,0.01541,True,False
3.36842,0.0526316,0,0,0,0.08781387,0.206,43,51,43,0.0196,True,False
3.57895,0.0526316,1,1,0,-0.001201528,0.108,43,51,43,0.0196,True,True
3.78947,0.0526316,1,1,1,-0.07848937,0.0688,45,51,45,0.0196,True,True
4.0,0.0526316,1,1,1,-0.1169704,0.108,39,51,39,0.0196,True,True
0.0,0.105263,0,0,0,2.17041,0.3432,46,51,46,0.098,True,False
0.210526,0.105263,0,0,0,2.030457,0.3628,46,51,46,0.098,True,False
0.421053,0.105263,0,0,0,1.877814,0.3628,46,51,46,0.098,True,False
0.631579,0.105263,0,0,0,1.717391,0.3628,46,51,46,0.098,True,False
0.842105,0.105263,0,0,0,1.549452,0.3824,46,51,46,0.098,True,False
1.05263,0.105263,0,0,0,1.379374,0.3824,46,51,46,0.098,True,False
1.26316,0.105263,0,0,0,1.210895,0.3824,46,51,46,0.098,True,False
1.47368,0.105263,0,0,0,1.046849,0.3824,46,51,46,0.098,True,False
1.68421,0.105263,0,0,0,0.8902975,0.3824,46,51,46,0.098,True,False
1.89474,0.105263,0,0,0,0.7440175,0.3824,46,51,46,0.098,True,False
2.10526,0.105263,0,0,0,0.6088968,0.3628,44,51,44,0.098,True,False
2.31579,0.105263,0,0,0,0.4877844,0.3628,44,51,44,0.098,True,False
2.52632,0.105263,0,0,0,0.3809087,0.3432,46,51,46,0.0196,True,False
2.73684,0.105263,0,0,0,0.2800469,0.304,48,51,48,0.007799,True,False
2.94737,0.105263,0,0,0,0.1893159,0.2844,47,51,47,0.0196,True,False
3.15789,0.105263,0,0,0,0.1034118,0.2452,46,51,46,0.0196,True,False
3.36842,0.105263,0,0,0,,,0,51,0,0.5247,False,False
3.57895,0.105263,0,0,0,,,0,51,0,0.6385,False,False
3.78947,0.105263,1,1,1,-0.1476477,0.0884,40,51,40,0.0196,True,True
4.0,0.105263,0,0,0,,,1,51,1,0.3807,False,False
0.0,0.157895,0,0,0,2.037002,0.3628,46,51,46,0.098,True,False
0.210526,0.157895,0,0,0,1.896295,0.3628,46,51,46,0.098,True,False
0.421053,0.157895,0,0,0,1.745227,0.3628,46,51,46,0.098,True,False
0.631579,0.157895,0,0,0,1.583339,0.3824,46,51,46,0.098,True,False
0.842105,0.157895,0,0,0,1.41696,0.3824,46,51,46,0.098,True,False
1.05263,0.157895,0,0,0,1.249738,0.3824,46,51,46,0.098,True,False
1.26316,0.157895,0,0,0,1.084866,0.3824,46,51,46,0.098,True,False
1.47368,0.157895,0,0,0,0.9252525,0.3824,46,51,46,0.098,True,False
