eps_c,eps_a,min_fpp
0.0,3.78947,-0.01035399
0.0526316,3.57895,-0.001201528
0.105263,3.78947,-0.1476477
0.157895,3.36842,-0.07064716
0.210526,3.15789,-0.06464348
0.263158,2.94737,-0.05753805
0.315789,2.73684,-0.05099879
0.368421,2.52632,-0.05442614
0.421053,2.31579,-0.04436453
0.473684,2.10526,-0.04323711
0.526316,2.10526,-0.1567341
0.578947,1.89474,-0.1538124
0.631579,1.89474,-0.2687815
0.684211,1.89474,-0.4259476
0.736842,1.05263,-0.05595356
0.789474,0.842105,-0.04211911
0.842105,0.631579,-0.03692375
0.894737,0.421053,-0.03413546
0.947368,0.210526,-0.03229859
1.0,0.0,-0.03149455
