state_index,seed,peak_ix,peak_iy,peak_kx,peak_ky,peak_value,vertical_axis_weight,horizontal_axis_weight
0,1000,12,2,0.0,-2.617993877991494,37.42417615367681,270.75,213.74999999999994
1,1001,12,2,0.0,-2.617993877991494,31.100423396407304,330.55555555555554,160.55555555555554
2,1003,12,0,0.0,-3.141592653589793,84.02777777777777,453.74999999999994,68.75
3,1004,12,5,0.0,-1.8325957145940457,65.97773932712599,299.9999999999999,180.00000000000003
4,1005,1,12,-2.8797932657906435,0.0,83.60569825754614,142.2222222222222,355.5555555555556
5,1007,12,0,0.0,-3.141592653589793,50.173611111111114,238.8263888888889,238.8263888888889
6,1008,12,1,0.0,-2.8797932657906435,44.34557921022451,242.99999999999994,242.99999999999997
7,1009,12,13,0.0,0.2617993877991494,39.08001965727402,270.75,213.75
8,1010,2,12,-2.617993877991494,0.0,29.02864838038063,238.82638888888886,238.82638888888886
9,1011,12,1,0.0,-2.8797932657906435,45.34582093639044,298.3263888888888,190.65972222222217
10,1012,15,12,0.7853981633974483,0.0,54.705844122715696,168.74999999999994,303.75
11,1013,9,12,-0.7853981633974483,0.0,43.841883092036774,216.74999999999997,267.74999999999994
12,1015,10,12,-0.5235987755982988,0.0,89.21828523466166,111.49305555555554,358.49305555555543
13,1016,0,12,-3.141592653589793,0.0,44.44444444444444,108.88888888888889,388.88888888888886
14,1017,12,6,0.0,-1.5707963267948966,25.06944444444445,270.75,213.75
15,1018,0,12,-3.141592653589793,0.0,62.673611111111114,148.4375,338.43749999999994
16,1019,8,12,-1.0471975511965976,0.0,29.250000000000014,270.74999999999994,213.75
17,1020,5,12,-1.8325957145940457,0.0,36.16062101893857,168.88888888888889,320.88888888888886
18,1021,12,7,0.0,-1.308996938995747,36.981091799831816,330.55555555555554,160.55555555555554
19,1022,9,12,-0.7853981633974483,0.0,35.09198831357601,238.82638888888886,238.82638888888886
20,1023,2,12,-2.617993877991494,0.0,37.424176153676775,190.65972222222214,298.3263888888888
21,1024,12,2,0.0,-2.617993877991494,74.84835230735357,320.8888888888888,168.88888888888886
22,1025,12,15,0.0,0.7853981633974483,28.47792206135786,213.74999999999994,270.74999999999994
23,1026,3,12,-2.356194490192345,0.0,56.90355937288492,180.0,300.0
24,1027,12,10,0.0,-0.5235987755982988,28.068132115257594,238.1597222222222,238.1597222222222
25,1028,0,12,-3.141592653589793,0.0,44.44444444444444,180.0,300.0
26,1029,8,12,-1.0471975511965976,0.0,42.14583333333334,161.9722222222222,280.97222222222223
27,1030,8,12,-1.0471975511965976,0.0,58.1875,157.93749999999997,290.9375
28,1031,12,4,0.0,-2.0943951023931953,29.250000000000014,213.75,270.74999999999994
29,1032,12,3,0.0,-2.356194490192345,67.53807916384653,374.9999999999999,125.0
30,1033,12,11,0.0,-0.2617993877991494,28.948530400202888,216.74999999999994,267.75
31,1034,4,12,-2.0943951023931953,0.0,32.59027777777777,238.15972222222223,238.15972222222217
32,1036,12,11,0.0,-0.2617993877991494,49.18330816658016,437.93749999999994,73.9375
33,1037,4,12,-2.0943951023931953,0.0,40.111111111111114,263.8888888888888,200.55555555555554
34,1038,12,10,0.0,-0.5235987755982988,32.04631119635937,290.93749999999994,157.93749999999997
35,1039,12,23,0.0,2.8797932657906435,43.172826771271815,330.55555555555543,160.55555555555554
36,1040,6,12,-1.5707963267948966,0.0,38.25,270.74999999999994,213.75
37,1041,12,18,0.0,1.5707963267948966,53.77777777777778,362.9999999999999,99.0
38,1042,12,15,0.0,0.7853981633974483,25.401603320161787,238.82638888888886,238.8263888888889
39,1043,12,4,0.0,-2.0943951023931953,38.13194444444444,280.97222222222223,161.97222222222217
40,1044,12,9,0.0,-0.7853981633974483,34.667098555787305,238.15972222222217,238.15972222222217
41,1045,12,0,0.0,-3.141592653589793,62.673611111111114,298.32638888888886,190.65972222222223
42,1046,10,12,-0.5235987755982988,0.0,46.01563009409459,211.55555555555551,256.8888888888889
43,1047,12,5,0.0,-1.8325957145940457,34.85461651168603,211.55555555555554,256.88888888888886
44,1048,1,12,-2.8797932657906435,0.0,39.68683639837915,243.0,243.0
45,1049,4,12,-2.0943951023931953,0.0,69.75,147.0,315.0
46,1050,8,12,-1.0471975511965976,0.0,49.0,157.93749999999994,290.9375
47,1051,12,8,0.0,-1.0471975511965976,32.59027777777777,200.55555555555554,263.8888888888888
48,1052,12,11,0.0,-0.2617993877991494,38.62699666033549,268.88888888888886,122.22222222222219
49,1053,10,12,-0.5235987755982988,0.0,23.545574190190315,119.0,289.0
