model,W,x,ln_lambda,dln_lambda_dx,s_exact_over_kB,s_avgE_over_kB,s_isolatedZ_over_kB,abs_error_avgE,abs_error_isolatedZ
stick,3,0.0,2.079441541680,1.250000000000,0.693147180560,0.000000000000,0.693147180560,0.693147180560,0.000000000000
stick,3,0.5,2.764444787709,1.504319165464,0.670761734992,0.000000000000,0.693147180560,0.670761734992,0.022385445568
stick,3,1.0,3.609841839858,1.918036157659,0.563935227400,0.000000000000,0.693147180560,0.563935227400,0.129211953160
stick,3,1.5,4.717707055164,2.508869315861,0.318134360458,0.000000000000,0.693147180560,0.318134360458,0.375012820102
stick,3,2.0,6.069922389884,2.843143660256,0.127878356457,0.000000000000,0.693147180560,0.127878356457,0.565268824103
stick,3,3.0,9.008101489811,2.983082013379,0.019618483225,0.000000000000,0.693147180560,0.019618483225,0.673528697335
stick,3,4.0,12.001037968828,2.997891606387,0.003157181093,0.000000000000,0.693147180560,0.003157181093,0.689989999467
stick,3,5.0,15.000137744869,2.999722949505,0.000507665782,0.000000000000,0.693147180560,0.000507665782,0.692639514778
stick,3,6.0,18.000018509071,2.999962905140,0.000080359410,0.000000000000,0.693147180560,0.000080359410,0.693066821150
stick,4,0.0,2.772588722240,1.750000000000,0.693147180560,0.000000000000,0.693147180560,0.693147180560,0.000000000000
stick,4,0.5,3.723002498976,2.064748972000,0.672657003244,0.000000000000,0.693147180560,0.672657003244,0.020490177316
stick,4,1.0,4.860734557381,2.527297316702,0.583359310170,0.000000000000,0.693147180560,0.583359310170,0.109787870390
stick,4,1.5,6.306843460771,3.287024551992,0.344076658196,0.000000000000,0.693147180560,0.344076658196,0.349070522364
stick,4,2.0,8.095476141203,3.781703247381,0.133017411610,0.000000000000,0.693147180560,0.133017411610,0.560129768950
stick,4,3.0,12.010858997835,3.977251351986,0.019776235469,0.000000000000,0.693147180560,0.019776235469,0.673370945091
stick,4,4.0,16.001386252457,3.997181657888,0.003164905226,0.000000000000,0.693147180560,0.003164905226,0.689982275334
stick,4,5.0,20.000183766049,3.999630276276,0.000508096167,0.000000000000,0.693147180560,0.000508096167,0.692639084393
stick,4,6.0,24.000024683914,3.999950524650,0.000080384003,0.000000000000,0.693147180560,0.000080384003,0.693066796557
L-shaped,3,0.0,4.158883083360,1.250000000000,1.386294361120,0.000000000000,1.386294361120,1.386294361120,0.000000000000
L-shaped,3,0.5,4.838189604937,1.465724082531,1.368442521224,0.000000000000,1.386294361120,1.368442521224,0.017851839896
L-shaped,3,1.0,5.621787001178,1.664747575433,1.319013141915,0.000000000000,1.386294361120,1.319013141915,0.067281219205
L-shaped,3,1.5,6.498320657447,1.836342524957,1.247935623337,0.000000000000,1.386294361120,1.247935623337,0.138358737782
L-shaped,3,2.0,7.453007434718,1.977384945923,1.166079180957,0.000000000000,1.386294361120,1.166079180957,0.220215180163
L-shaped,3,3.0,9.539121546642,2.178935841113,1.000771341101,0.000000000000,1.386294361120,1.000771341101,0.385523020019
L-shaped,3,4.0,11.785228322167,2.303209407005,0.857463564716,0.000000000000,1.386294361120,0.857463564716,0.528830796404
L-shaped,3,5.0,14.129678912487,2.379519879044,0.744026505756,0.000000000000,1.386294361120,0.744026505756,0.642267855364
L-shaped,3,6.0,16.534532100979,2.426388567077,0.658733566172,0.000000000000,1.386294361120,0.658733566172,0.727560794948
L-shaped,4,0.0,5.545177444480,1.750000000000,1.386294361120,0.000000000000,1.386294361120,1.386294361120,0.000000000000
L-shaped,4,0.5,6.490337333827,2.030088529373,1.368823267285,0.000000000000,1.386294361120,1.368823267285,0.017471093835
L-shaped,4,1.0,7.574426559799,2.305291241063,1.317283829684,0.000000000000,1.386294361120,1.317283829684,0.069010531436
L-shaped,4,1.5,8.794584403090,2.574165882196,1.233333894949,0.000000000000,1.386294361120,1.233333894949,0.152960466171
L-shaped,4,2.0,10.147063662708,2.833670299494,1.119930765930,0.000000000000,1.386294361120,1.119930765930,0.266363595190
L-shaped,4,3.0,13.217937876274,3.289078297458,0.837675745975,0.000000000000,1.386294361120,0.837675745975,0.548618615145
L-shaped,4,4.0,16.677314473069,3.604178803196,0.565149815071,0.000000000000,1.386294361120,0.565149815071,0.821144546049
L-shaped,4,5.0,20.380978135685,3.784745743535,0.364312354503,0.000000000000,1.386294361120,0.364312354503,1.021982006617
L-shaped,4,6.0,24.218864679092,3.880901062434,0.233364576122,0.000000000000,1.386294361120,0.233364576122,1.152929784998
